Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
08-28-2025-Thu 18-59-12-PM,23.1992,23.3339,23.0976,23.0629,22.9621,22.9283,23.0976,23.1645
08-28-2025-Thu 18-59-14-PM,23.1645,23.1645,23.0976,23.0629,22.9621,22.9283,23.0976,23.1992
08-28-2025-Thu 18-59-17-PM,23.1992,23.2323,23.0976,23.0629,22.996,22.8944,23.0629,23.1645
08-28-2025-Thu 18-59-19-PM,23.1645,23.3339,23.0976,23.0629,22.9621,22.9283,23.0629,23.1645
08-28-2025-Thu 18-59-21-PM,23.1645,23.2323,23.0976,23.0976,22.9621,22.8944,23.0629,23.1992
08-28-2025-Thu 18-59-24-PM,23.0629,23.3,23.0976,23.0629,22.9621,22.9283,23.0629,23.1992
08-28-2025-Thu 18-59-26-PM,23.1992,23.1992,23.0976,23.0629,22.9283,22.9283,23.0629,23.1645
08-28-2025-Thu 18-59-29-PM,23.1992,23.1992,23.0976,23.0629,22.9621,22.9283,23.0629,26.1754
08-28-2025-Thu 18-59-31-PM,23.1992,23.3,23.0976,23.0629,22.9621,22.9283,23.0629,29.0524
08-28-2025-Thu 18-59-33-PM,23.1315,23.2661,23.1315,23.0629,22.9621,22.9283,23.0629,25.9383
08-28-2025-Thu 18-59-36-PM,23.1645,23.2323,23.0976,23.0976,22.9621,22.9283,23.0629,24.5853
08-28-2025-Thu 18-59-38-PM,23.1645,23.3,23.0976,23.0629,22.9621,22.9283,23.0629,24.1458
08-28-2025-Thu 18-59-41-PM,23.0629,23.1645,23.0976,23.0629,22.9621,22.9283,23.0629,23.9426
08-28-2025-Thu 18-59-43-PM,23.1315,23.2323,23.0976,23.0629,22.8944,22.8944,23.0629,23.8072
08-28-2025-Thu 18-59-45-PM,23.0629,23.2323,23.0976,23.0629,22.9283,22.8944,23.0629,23.7394
08-28-2025-Thu 18-59-48-PM,23.0299,23.2323,23.0976,23.0629,22.9283,22.8944,23.0299,23.7064
08-28-2025-Thu 18-59-50-PM,23.1315,23.1992,23.0629,23.0629,22.9283,22.9283,23.0299,23.6387
08-28-2025-Thu 18-59-53-PM,23.1992,23.2323,23.0976,23.0629,22.9283,22.8944,23.0629,23.6387
08-28-2025-Thu 18-59-55-PM,23.1645,23.2661,23.0976,23.0299,22.9283,22.8944,23.0629,23.6048
08-28-2025-Thu 18-59-57-PM,23.2323,23.1992,23.0629,23.0629,22.9283,22.8944,23.0629,23.5701
08-28-2025-Thu 19-00-00-PM,23.1315,23.2323,23.0629,23.0629,22.8944,22.8944,23.0629,23.5701
08-28-2025-Thu 19-00-02-PM,23.1315,23.2661,23.0629,23.0629,22.8944,22.8944,23.0629,23.5701
08-28-2025-Thu 19-00-04-PM,23.1315,23.3,23.0976,23.0629,22.9283,22.8944,23.0299,23.5371
08-28-2025-Thu 19-00-07-PM,23.0629,23.2323,23.0629,23.0299,22.9283,22.8944,23.0299,23.5032
08-28-2025-Thu 19-00-09-PM,23.1315,23.3,23.0629,23.0629,22.8944,22.8944,23.0629,23.5371
08-28-2025-Thu 19-00-12-PM,23.0976,23.2661,23.0629,23.0299,22.9283,22.8944,23.0299,23.5032
08-28-2025-Thu 19-00-14-PM,23.1315,23.1645,23.0629,23.0299,22.8944,22.8944,23.0629,23.5032
08-28-2025-Thu 19-00-17-PM,23.1992,23.2661,23.0976,23.0629,22.8944,22.8944,23.0299,23.4693
08-28-2025-Thu 19-00-19-PM,23.1315,23.2323,23.0629,23.0299,22.8944,22.8944,23.0629,23.4693
08-28-2025-Thu 19-00-21-PM,23.0629,23.1992,23.0629,23.0299,22.8944,22.8944,23.0299,23.4693
08-28-2025-Thu 19-00-24-PM,23.0299,23.1992,23.0629,23.0299,22.8944,22.8944,23.0629,23.4355
08-28-2025-Thu 19-00-26-PM,23.0299,23.1992,23.0629,23.0629,22.8944,22.8944,23.0299,23.4693
08-28-2025-Thu 19-00-29-PM,23.0629,23.2323,23.0629,23.0629,22.8944,22.8944,23.0629,23.4355
08-28-2025-Thu 19-00-31-PM,23.1315,23.3339,23.0629,23.0299,22.8944,22.8605,23.0299,23.4355
08-28-2025-Thu 19-00-33-PM,23.0976,23.1992,23.0629,23.0629,22.8944,22.8944,23.0299,23.4016
08-28-2025-Thu 19-00-36-PM,23.0976,23.1315,23.0629,23.0299,22.8944,22.8605,23.0299,23.4016
08-28-2025-Thu 19-00-38-PM,23.1992,23.1992,23.0629,23.0299,22.8605,22.8944,23.0299,23.4016
08-28-2025-Thu 19-00-40-PM,23.0629,23.1992,23.0629,23.0299,22.8605,22.8605,23.0299,23.4016
08-28-2025-Thu 19-00-43-PM,23.1315,23.1645,23.0629,23.0299,22.9283,22.8944,23.0299,23.4016
08-28-2025-Thu 19-00-45-PM,23.0629,23.1645,23.0299,23.0299,22.8944,22.8944,23.0299,23.3677
08-28-2025-Thu 19-00-47-PM,23.1645,23.2323,23.0629,23.0299,22.8944,22.8605,23.0299,23.3677
08-28-2025-Thu 19-00-50-PM,23.0629,23.2323,23.0976,23.0299,22.8605,22.8944,23.0299,23.3677
08-28-2025-Thu 19-00-52-PM,23.0629,23.1992,23.0976,23.0299,22.8944,22.8605,23.0299,23.3677
08-28-2025-Thu 19-00-54-PM,23.2661,23.2323,23.0629,23.0299,22.8605,22.8944,23.0299,23.4016
08-28-2025-Thu 19-00-57-PM,23.0976,23.2661,23.0629,23.0629,22.8944,22.8944,23.0299,23.3339
08-28-2025-Thu 19-00-59-PM,23.1315,23.2323,23.0976,22.996,22.8944,22.8605,22.996,23.3339
08-28-2025-Thu 19-01-02-PM,23.0629,23.1992,23.0629,23.0299,22.8605,22.8605,23.0299,23.3339
08-28-2025-Thu 19-01-04-PM,23.1315,23.2323,23.0629,23.0629,22.8605,22.8944,23.0299,23.3
08-28-2025-Thu 19-01-07-PM,23.0976,23.2323,23.0629,23.0299,22.8944,22.8944,23.0299,23.3339
08-28-2025-Thu 19-01-09-PM,23.0629,23.2661,23.0629,23.0299,22.8605,22.8944,23.0299,23.3
08-28-2025-Thu 19-01-11-PM,23.1315,23.2323,23.0629,23.0299,22.8605,22.8605,23.0299,23.3339
08-28-2025-Thu 19-01-14-PM,23.0629,23.2661,23.0299,23.0299,22.8605,22.8605,23.0299,23.3
08-28-2025-Thu 19-01-16-PM,23.0629,23.2323,23.0629,23.0299,22.8944,22.8605,22.996,23.3339
08-28-2025-Thu 19-01-18-PM,23.1315,23.1992,23.0629,22.996,22.8944,22.8605,23.0629,23.3339
08-28-2025-Thu 19-01-21-PM,23.1315,23.2323,23.0629,23.0299,22.8605,22.8605,22.996,23.3
08-28-2025-Thu 19-01-23-PM,23.1315,23.2661,23.0629,23.0299,22.8605,22.8944,22.996,23.3
08-28-2025-Thu 19-01-26-PM,23.1315,23.2323,23.0299,23.0299,22.8944,22.8605,23.0299,23.3
08-28-2025-Thu 19-01-28-PM,23.1645,23.1645,23.0299,23.0299,22.8944,22.8267,23.0299,23.3
08-28-2025-Thu 19-01-30-PM,23.1645,23.2661,23.0629,23.0299,22.8944,22.8605,23.0299,23.2661
08-28-2025-Thu 19-01-33-PM,23.0299,23.2323,23.0629,22.996,22.8944,22.8944,22.996,23.2661
08-28-2025-Thu 19-01-35-PM,23.1645,23.1992,23.0299,23.0299,22.8944,22.8605,22.996,23.2661
08-28-2025-Thu 19-01-37-PM,23.0976,23.1645,23.0629,23.0299,22.8605,22.8605,23.0299,23.2661
08-28-2025-Thu 19-01-40-PM,23.0629,23.2323,23.0629,23.0299,22.8605,22.8605,23.0299,23.2661
08-28-2025-Thu 19-01-42-PM,23.0976,23.2661,23.0299,23.0299,22.8605,22.8605,23.0299,23.2661
08-28-2025-Thu 19-01-44-PM,23.0299,23.1645,23.0299,23.0299,22.8605,22.8944,23.0299,23.2661
08-28-2025-Thu 19-01-47-PM,23.0976,23.1992,23.0299,23.0299,22.8605,22.8605,23.0299,23.2323
